"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"SWE","GDP","TOT","USD_CAP","A","1983",14005.264108,"E"
"SWE","GDP","TOT","USD_CAP","A","1984",15109.749874,"E"
"SWE","GDP","TOT","USD_CAP","A","1985",15899.54517,"E"
"SWE","GDP","TOT","USD_CAP","A","1986",16616.471229,"E"
"SWE","GDP","TOT","USD_CAP","A","1987",17539.706487,"E"
"SWE","GDP","TOT","USD_CAP","A","1988",18539.201291,"E"
"SWE","GDP","TOT","USD_CAP","A","1989",19644.741416,"E"
"SWE","GDP","TOT","USD_CAP","A","1990",20375.572579,"E"
"SWE","GDP","TOT","USD_CAP","A","1991",20683.070544,"E"
"SWE","GDP","TOT","USD_CAP","A","1992",20786.300876,"E"
"SWE","GDP","TOT","USD_CAP","A","1993",20718.06961,
"SWE","GDP","TOT","USD_CAP","A","1994",21836.544499,
"SWE","GDP","TOT","USD_CAP","A","1995",23050.467255,
"SWE","GDP","TOT","USD_CAP","A","1996",23875.251836,
"SWE","GDP","TOT","USD_CAP","A","1997",24797.075531,
"SWE","GDP","TOT","USD_CAP","A","1998",25886.713848,
"SWE","GDP","TOT","USD_CAP","A","1999",27471.476497,
"SWE","GDP","TOT","USD_CAP","A","2000",29631.192149,
"SWE","GDP","TOT","USD_CAP","A","2001",29940.410211,
"SWE","GDP","TOT","USD_CAP","A","2002",30926.361002,
"SWE","GDP","TOT","USD_CAP","A","2003",31782.177947,
"SWE","GDP","TOT","USD_CAP","A","2004",33830.671978,
"SWE","GDP","TOT","USD_CAP","A","2005",34244.359285,
"SWE","GDP","TOT","USD_CAP","A","2006",37679.716019,
"SWE","GDP","TOT","USD_CAP","A","2007",40855.465147,
"SWE","GDP","TOT","USD_CAP","A","2008",42158.465614,
"SWE","GDP","TOT","USD_CAP","A","2009",40309.177594,
"SWE","GDP","TOT","USD_CAP","A","2010",42256.280065,
"SWE","GDP","TOT","USD_CAP","A","2011",44608.643898,
"SWE","GDP","TOT","USD_CAP","A","2012",45432.306926,
"SWE","GDP","TOT","USD_CAP","A","2013",46312.293685,
"SWE","GDP","TOT","USD_CAP","A","2014",47184.719403,
"SWE","GDP","TOT","USD_CAP","A","2015",49103.0618,
"SWE","GDP","TOT","USD_CAP","A","2016",50430.174559,
"SWE","GDP","TOT","USD_CAP","A","2017",51947.942867,
"SWE","GDP","TOT","USD_CAP","A","2018",53553.312077,
"SWE","GDP","TOT","USD_CAP","A","2019",55059.211311,
